"","IND_SSKIN","IND_FAT","IND_BRAIN","IND_CO","IND_KIDNEY","IND_GONAD","IND_LIVER","IND_HCT","IND_HEART","IND_MUSCLE","IND_INTESTINE","IND_STOMACH","IND_LUNG","IND_VSKIN","IND_MARR","IND_PANCREAS","IND_SPLEEN","Result_Hair","Result_Liver","Result_Brain","Result_Kidney","Result_Urine","Final_urine","Final"
"442","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707423477568891,0.695944592447465,0.884904492401606,0.937144294162282,116.146505680253,23.8743845073666,0.806354214145061
"443","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70788245771036,0.695743600906084,0.884411901199416,0.937412925430594,116.132007876861,23.8714917524215,0.806362721311614
"444","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707508837075791,0.695891035503459,0.884264331334034,0.937179350110965,116.115387743639,23.8680462595327,0.806210888506062
"445","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707423625764023,0.695946273669449,0.884906187169924,0.937143725116795,116.14648541315,23.8743810449741,0.806354952930048
"446","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707882604478485,0.695745282971321,0.884413603069372,0.937412359428608,116.131987670873,23.8714883041642,0.806363462486946
"447","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707508983972817,0.695892717612401,0.884266033132591,0.937178782430227,116.115367505542,23.868042804538,0.806211629287009
"448","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707427044643624,0.6959592789279,0.884881364678406,0.937136684821451,116.145777145511,23.8742363037164,0.806351093267845
"449","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707886019931447,0.695758293295154,0.884388802735586,0.93740531850384,116.131279547405,23.8713435963741,0.806359608616506
"450","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2014)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707512402233564,0.695905728022738,0.884241230137532,0.937171743725762,116.114659679283,23.8678981566805,0.806207776029899
"451","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707450140647299,0.695937975377721,0.884944939131897,0.937157883273579,116.145836470439,23.8742654817738,0.806372734607624
"452","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707907617437162,0.695737370048621,0.884452017780503,0.937426078107828,116.131319317375,23.8713684801498,0.806380770843528
"453","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70753504750766,0.695884299340168,0.884305521123135,0.937192824130361,116.114743867169,23.867932311854,0.806229423025331
"454","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707450289440421,0.695939655410101,0.884946620847143,0.937157313885473,116.14581621579,23.8742620190746,0.806373469895785
"455","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707907764780657,0.695739050922259,0.884453706606617,0.937425511754341,116.131299122521,23.8713650313169,0.806381508515969
"456","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707535194993449,0.695885980247284,0.884307209855624,0.937192256106736,116.114723641814,23.8679288566035,0.806230160300773
"457","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707453707436274,0.695952647687718,0.884921819751319,0.93715027580677,116.145107916141,23.8741172733646,0.80636961267052
"458","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707911179412705,0.695752048302424,0.884428927676212,0.937418473090609,116.130590968609,23.8712203194182,0.806377657120487
"459","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707538612360873,0.695898977663525,0.884282428180454,0.937185219635304,116.114015782039,23.8677842039758,0.806226309460039
"460","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707450310030424,0.695936258285348,0.884934540964943,0.937157052809156,116.146088936844,23.8743134197868,0.806369540522468
"461","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707908149764727,0.695735726725101,0.88444184769066,0.937425192233477,116.13155092978,23.8714123692388,0.806377729103491
"462","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707535354729914,0.695882645899632,0.884295220342315,0.937191955168801,116.114984315967,23.8679778984216,0.806226294035166
"463","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707450458840719,0.695937938490311,0.884936222278693,0.93715648339559,116.146068681445,23.8743099568901,0.806370275751328
"464","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707908297123318,0.695737407772097,0.88444353611318,0.93742462585674,116.131530734356,23.8714089202443,0.806378466716334
"465","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707535502231085,0.695884326979074,0.884296908669615,0.937191387119931,116.114964089831,23.8679744429661,0.806227031249926
"466","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707453876822767,0.695950931589631,0.884911419102217,0.937149445082123,116.145360381825,23.8741652108844,0.806366418149184
"467","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707911711736882,0.695750405969596,0.884418755108619,0.937417586957618,116.130822581068,23.871264208168,0.806374614943179
"468","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707538919583594,0.695897325213442,0.884272124924316,0.937184350413533,116.114256230663,23.8678297901595,0.806223180033721
"469","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707439944686199,0.695940185009533,0.884933383172198,0.937151214032756,116.146104472936,23.8743138399673,0.806366181725171
"470","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707897977495108,0.695739460573503,0.884440610551206,0.937419526842502,116.131589670237,23.8714174491398,0.80637439386558
"471","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707525036026463,0.695886548402643,0.884293723133649,0.937186169108584,116.115002918931,23.8679788791206,0.806222869167835
"472","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707440093468423,0.695941864798243,0.884935064057441,0.937150644707584,116.146084217732,23.8743103769527,0.806366916757923
"473","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707898124826639,0.695741141207589,0.884442298498332,0.937418960546953,116.131569474802,23.8714139999762,0.806375131269878
"474","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707525183500935,0.6958882290692,0.884295411030024,0.937185601146316,116.114982692994,23.8679754235481,0.806223606186619
"475","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707443511303152,0.69595485539125,0.884910267714283,0.937143607336412,116.145375920256,23.8741656324002,0.806363060436274
"476","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70790153930194,0.69575413689229,0.884417524271905,0.937411922588816,116.130861323206,23.8712692892522,0.806371280763738
"477","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70752860070906,0.695901224808332,0.88427063405401,0.937178565375307,116.114274835256,23.8678307720405,0.806219756236677
"478","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707440124171585,0.695938468943009,0.884922991030791,0.937150382637609,116.146356630029,23.8743617193624,0.806362991695748
"479","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707898519573302,0.695737818147199,0.884430445552058,0.937418640121005,116.131820986266,23.871461281932,0.806371355848391
"480","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707525353109095,0.695884895901895,0.884283427817713,0.937185299264511,116.115243069539,23.8680244091264,0.806219744023303
"481","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707440272971089,0.695940148904608,0.884924671511647,0.937149813287675,116.146336374031,23.8743582561412,0.806363726668755
"482","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707898666919917,0.695739498954927,0.884432133095861,0.937418073802452,116.131800790266,23.8714578326078,0.806372093193289
"483","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707525500598929,0.695886576740472,0.884285115308392,0.937184731276533,116.115222842852,23.8680209533552,0.806220480981081
"484","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707443690791945,0.695953140320054,0.884899873083573,0.93714277567891,116.145628076566,23.8742135112881,0.806359869968621
"485","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70790208137685,0.695752495459046,0.884407356797082,0.937411035607907,116.131092639271,23.8713131217024,0.806368242310221
"486","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Mallick et al. (2019)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Mallick et al. (2019)","Beaudouin et al. (2010)","Pearce et al. (2017)","Beaudouin et al. (2010)","Haddad et al. (2001)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707528917792217,0.695899573299115,0.884260336256665,0.937177695271581,116.114514985811,23.8678763016862,0.806216630654894
"487","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707478757715115,0.695934301644708,0.884990602040492,0.937175752573035,116.14471199382,23.8740582815587,0.806394853493337
"488","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.70793469751132,0.695733908269958,0.884497052429361,0.937443703659104,116.130201867328,23.8711622458395,0.806402340467436
"489","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707563170308801,0.695880450807422,0.88435156105475,0.937210669847177,116.113655602226,23.8677322908489,0.806251463004538
"490","Pearce et al. (2017)","Smith et al. (2014)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707478906713754,0.695935977481845,0.884992272906314,0.937175183363387,116.144691756858,23.8740548194647,0.806395585116325
"491","Pearce et al. (2017)","Pendse et al. (2020)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707934845034537,0.695735584936004,0.884498730288329,0.937443137455179,116.130181688349,23.8711587972126,0.806403074428512
"492","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Deepika et al. (2021)","Pearce et al. (2017)","Haddad et al. (2001)","Pearce et al. (2017)","Mallick et al. (2019)","Haddad et al. (2001)","Pearce et al. (2017)","Haddad et al. (2001)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)","Beaudouin et al. (2010)","Pearce et al. (2017)","Pearce et al. (2017)",0.707563317995828,0.695882127502425,0.884353238910211,0.937210101984387,116.113635393999,23.8677288360783,0.806252196598213
